SIC Code,SIC Description ,NAICS Code ,NAICS Description ,Industry,Sector,Sub-sector
111,wheat,111140,Wheat Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
112,Rice,111160,Rice Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
115,Corn,111150,Corn Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
116,Soybeans,111110,Soybean Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
119,"Cash Grains, Nec",111120,Oilseed (except Soybean) Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
119,"Cash Grains, Nec",111130,Dry Pea and Bean Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
119,"Cash Grains, Nec",111150,Corn Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
119,"Cash Grains, Nec",111191,Oilseed and Grain Combination Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
119,"Cash Grains, Nec",111199,All Other Grain Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
131,Cotton,111920,Cotton Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
132,Tobacco,111910,Tobacco Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
133,Sugarcane and Sugar Beets,111930,Sugarcane Farming,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
133,Sugarcane and Sugar Beets,111991,Sugar Beet Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
134,Irish Potatoes,111211,Potato Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming
139,"Field Crops, Except Cash Grain",111199,All Other Grain Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Oilseed and Grain Farming
139,"Field Crops, Except Cash Grain",111211,Potato Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming
139,"Field Crops, Except Cash Grain",111219,Other Vegetable (except Potato) and Melon Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming
139,"Field Crops, Except Cash Grain",111940,Hay Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
139,"Field Crops, Except Cash Grain",111992,Peanut Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
139,"Field Crops, Except Cash Grain",111998,All Other Miscellaneous Crop Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Other Crop Farming
139,"Field Crops, Except Cash Grain",112519,Other Aquaculture ,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,Aquaculture
161,Vegetables and Melons,111211,Potato Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming
161,Vegetables and Melons,111219,Other Vegetable (except Potato) and Melon Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Vegetable and Melon Farming
171,Berry Crops,111333,Strawberry Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
171,Berry Crops,111334,Berry (except Strawberry) Farming ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
172,Grapes,111332,Grape Vineyards ,"Agriculture, Forestry, Fishing and Hunting",Crop Production,Fruit and Tree Nut Farming
